user_name                                 user_id
attractive-wonderful-turkey               1275533
attractive-wrong-pigletsquid               900970
bald-aggressive-bluepenguin               1010038
bald-ambitious-sugarglider                 898519
bald-attractive-lynx                       538406
bald-attractive-macaque                   1044280
bald-attractive-muntjac                   1053658
bald-beautiful-whaleshark                  898726
bald-brave-pika                            543152
bald-calm-kipunji                          454072
bald-careful-reduakari                    1033198
bald-chubby-narwhal                       1063288
bald-chubby-seaotter                       235937
bald-clever-tamandua                       703255
bald-dazzling-greaterbilby                 938803
bald-eager-elephantseal                    870574
bald-faithful-chicken                      898636
bald-famous-kob                           1142158
bald-handsome-mininubiangoat               899266
bald-happy-dibbler                        1170781
bald-helpful-treehyrax                     542303
bald-important-redfootedbooby             1157749
bald-inexpensive-desman                   1021936
bald-jolly-kinkajou                        568943
bald-long-turkey                          1076080
bald-magnificent-pademelon                 445489
bald-mealy-duiker                          902404
bald-muscular-marmot                       902335
bald-muscular-wallaby                      694981
bald-odd-coypu                             988399
bald-odd-crabeaterseal                    1160746
bald-odd-easternmole                       528749
bald-plain-chuditch                        898813
bald-plump-africanbuffalo                 1237519
bald-plump-boar                            897592
bald-poor-damselfish                      1081699
bald-quaint-cat                           1198924
bald-silly-flyingfish                      540950
bald-skinny-reduakari                      925258
bald-ugly-glassfrog                        900262
bald-uninterested-oncilla                  959437
bald-uninterested-seahorse                1078594
bald-unkempt-narwhal                      1044616
bald-unsightly-dikdik                      946798
bald-wonderful-ayeaye                      284655
bald-wonderful-capybara                    398298
bald-wonderful-klipspringer               1084669
bald-zealous-butterfly                     548507
bald-zealous-fishingcat                    351931
bald-zealous-kiwi                         1166506
beautiful-agreeable-dormouse               190521
beautiful-alive-iberianmole                974185
beautiful-attractive-geladamonkey         1044028
beautiful-attractive-sakimonkey            863194
beautiful-better-quetzal                   904879
beautiful-brave-gerenuk                    949690
beautiful-careful-lionfish                 951508
beautiful-chubby-ringtailedcat             899320
beautiful-clean-spottedseal               1087897
beautiful-clever-ostrich                   322161
beautiful-eager-barbirusapig               919009
beautiful-eager-dikdik                    1023679
beautiful-fit-blackbuck                    899494
beautiful-fit-geladababoon                1086334
beautiful-fit-kangaroorat                  900760
beautiful-flabby-agilemangabey            1020874
beautiful-flabby-dwarfmongoose            1043008
beautiful-gentle-teacuppig                 517059
beautiful-gifted-nilgai                    514158
beautiful-hallowed-poisondartfrog          866839
beautiful-happy-hornedlizard               516375
beautiful-happy-peacock                   1042834
beautiful-important-nyala                  898897
beautiful-important-ocelot                 576950
beautiful-inexpensive-bison               1079191
beautiful-inexpensive-pampascat           1157929
beautiful-jolly-easternmole                534449
beautiful-kind-greategret                 1026628
beautiful-lively-capebuffalo               524513
beautiful-magnificent-batearedfox          538988
beautiful-magnificent-ostrich             1218454
beautiful-magnificent-ringtailedcat        242850
beautiful-muscular-horse                   903919
beautiful-mushy-liger                      902530
beautiful-mushy-tur                       1099861
beautiful-obedient-gazelle                 445503
beautiful-obedient-markhor                 320143
beautiful-polite-cuttlefish               1090831
beautiful-polite-llama                    1202353
beautiful-polite-quoll                    1018876
beautiful-poor-nyala                       899350
beautiful-poor-peccary                     519092
beautiful-poor-pufferfish                  363405
beautiful-powerful-blackstork              901795
beautiful-powerful-snowyowl                680440
beautiful-shapely-flyingfish               795724
beautiful-shapely-jerboa                   904063
beautiful-shapely-mouflon                  196709
beautiful-shapely-owl                      880036
beautiful-shapely-titi                     917392
beautiful-silly-elephantshrew              901957
beautiful-silly-kipunji                    951664
beautiful-silly-mallard                    509394
beautiful-skinny-geladamonkey              903493
beautiful-tender-culpeo                    964984
beautiful-thankful-bonobo                  763174
beautiful-ugly-junebug                     844510
beautiful-unimportant-platypus            1137682
beautiful-unimportant-quoll                901171
beautiful-uninterested-solenodon          1125289
beautiful-unsightly-clownfish             1227811
beautiful-unsightly-paca                  1211164
beautiful-vast-nilgai                      421679
beautiful-victorious-kodkod               1086553
beautiful-victorious-skunk                 776152
beautiful-witty-polarbear                 1157935
beautiful-wonderful-dog                    856930
beautiful-wonderful-lionfish                56086
beautiful-wrong-coelacanth                1086268
beautiful-wrong-jerboa                    1161037
beautiful-wrong-platypus                  1161166
beautiful-zealous-aardwolf                1139905
better-agreeable-turkey                    561746
better-alive-pigletsquid                   641794
better-ambitious-caspianseal               338494
better-ambitious-eland                     897481
better-attractive-mountaingoat             900502
better-bald-cattle                         895558
better-beautiful-jerboa                    733060
better-better-bighornsheep                1214230
better-calm-zebrafinch                     901336
better-careful-elephantshrew               239982
better-careful-narwhal                    1044238
better-careful-talapoin                    902083
better-chubby-cuttlefish                   910600
better-chubby-hutia                        926344
better-chubby-vole                         899272
better-clean-malbrouck                     446287
better-clean-snowleopard                  1259941
better-clever-humpbackwhale                900613
better-delightful-tahr                     900376
better-faithful-domesticgoat               528008
better-faithful-gundi                      404019
better-flabby-gerbil                       967306
better-gifted-puku                         902215
better-glamorous-cougars                   926029
better-glamorous-prairiedog                901342
better-hallowed-cougars                   1102633
better-handsome-honeybadger                902572
better-happy-yodafruitbat                  781012
better-helpful-okapi                       388773
better-important-geladababoon              899404
better-important-lynx                      998641
better-inexpensive-agouti                 1043269
better-inexpensive-seahorse                902062
better-jolly-blackbuck                     903991
better-mushy-wallaby                       907609
better-obedient-bushdog                   1056637
better-obedient-chicken                    582731
better-plump-serow                        1218628
better-plump-teacuppig                    1285169
better-polite-glassfrog                   1102513
better-polite-kuhliloach                  1242279
better-poor-crabeaterseal                 1219483
better-poor-gerbil                         973822
better-poor-poisondartfrog                 903334
better-quaint-antechinus                  1087492
better-quaint-blackbear                    901864
better-rich-agouti                        1199863
better-rich-axolotl                        507870
better-rich-meerkat                        377400
better-rich-wallaby                        464023
better-shapely-giraffe                     511503
better-shapely-pampascat                   900232
better-silly-titi                          403782
better-stocky-redfox                       899506
better-thankful-emperorpenguin             385681
better-unimportant-brownfurseal            391622
better-unimportant-lechwe                  901225
better-uninterested-geladababoon           902293
better-unkempt-bluepenguin                1195405
better-unkempt-pocketgopher                864907
better-vast-vervet                        1186453
better-victorious-bonobo                   448958
better-victorious-redfox                   567980
better-witty-longtailedtit                 899458
better-wonderful-caracal                   521981
better-wonderful-dhole                    1043755
better-wrong-chameleon                     522794
better-wrong-siamang                      1023895
better-zealous-lynx                        897925
better-zealous-margay                      986863
brave-aggressive-damselfish                899026
brave-alive-kuhliloach                     895780
brave-alive-malbrouck                     1099048
brave-ambitious-kouprey                   1197064
brave-ambitious-vole                       186488
brave-attractive-banteng                  1079731
brave-attractive-dog                       902422
brave-attractive-hutia                     900904
brave-attractive-pygmyoctopus              898498
brave-better-harpseal                     1012450
brave-better-manatee                      1086322
brave-calm-aardvark                        901534
brave-calm-guineapig                       899296
brave-calm-redfox                         1156378
brave-careful-potto                       1160701
brave-clean-marbledpolecat                 903088
